ncbi,genome,description,gid,ncbi_taxonomy
35,gn:T01558,"mfu, 35; Corallococcus macrosporus HW-1 (Myxococcus fulvus HW-1)",mfu,d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Myxococcaceae;g__Corallococcus;s__Corallococcus macrosporus
632,gn:T03719,"ypl, 632; Yersinia pestis El Dorado",ypl,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Yersinia;s__Yersinia pestis
633,gn:T03307,"ypq, 633; Yersinia pseudotuberculosis ATCC 6904",ypq,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Yersinia;s__Yersinia pseudotuberculosis
633,gn:T03677,"ypu, 633; Yersinia pseudotuberculosis MD67",ypu,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Yersinia;s__Yersinia pseudotuberculosis
633,gn:T03678,"ypr, 633; Yersinia pseudotuberculosis EP2/+",ypr,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Yersinia;s__Yersinia pseudotuberculosis
633,gn:T03679,"ypc, 633; Yersinia pseudotuberculosis 1",ypc,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Yersinia;s__Yersinia pseudotuberculosis
638,gn:T05992,"ans, 638; Arsenophonus nasoniae FIN",ans,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Arsenophonus;s__Arsenophonus nasoniae
644,gn:T03748,"ahh, 644; Aeromonas hydrophila AL06-06",ahh,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas hydrophila
644,gn:T03886,"ahi, 644; Aeromonas hydrophila AH10",ahi,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas hydrophila
644,gn:T04629,"aaj, 644; Aeromonas hydrophila MX16A",aaj,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas hydrophila
645,gn:T04990,"aeo, 645; Aeromonas salmonicida O23A (Aeromonas sp. O23A)",aeo,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas salmonicida
648,gn:T05190,"acav, 648; Aeromonas caviae 8LM",acav,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas caviae
652,gn:T04186,"asr, 652; Aeromonas schubertii WL1483",asr,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas schubertii
654,gn:T04529,"avo, 654; Aeromonas veronii TH0426",avo,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas veronii
656,gn:T07074,"aall, 656; Aeromonas allosaccharophila FDAARGOS_933",aall,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas allosaccharophila
666,gn:T03389,"vcq, 666; Vibrio cholerae O1 2012EL-2176",vcq,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio cholerae
666,gn:T03828,"vcx, 666; Vibrio cholerae O49 1154-74",vcx,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio cholerae
666,gn:T03829,"vcz, 666; Vibrio cholerae O27 10432-62",vcz,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio cholerae
669,gn:T04380,"vhr, 669; Vibrio harveyi ATCC 43516",vhr,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio harveyi
672,gn:T03294,"vvl, 672; Vibrio vulnificus 93U204",vvl,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio vulnificus
673,gn:T04260,"gho, 673; Grimontia hollisae ATCC 33564",gho,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Grimontia;s__Grimontia hollisae
674,gn:T04381,"vmi, 674; Vibrio mimicus ATCC 33654",vmi,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio mimicus
676,gn:T04379,"vfl, 676; Vibrio fluvialis ATCC 33809",vfl,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio fluvialis
686,gn:T03827,"vcf, 686; Vibrio cholerae O1 El Tor FJ147",vcf,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio cholerae
687,gn:T04933,"vga, 687; Vibrio gazogenes ATCC 43942",vga,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio gazogenes
689,gn:T04936,"vsh, 689; Vibrio mediterranei QT6D1 (Vibrio shilonii QT6D1)",vsh,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio mediterranei
703,gn:T04378,"pshi, 703; Plesiomonas shigelloides NCTC10360",pshi,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__;g__Plesiomonas;s__Plesiomonas shigelloides
714,gn:T04753,"aact, 714; Aggregatibacter actinomycetemcomitans 624",aact,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Aggregatibacter;s__Aggregatibacter actinomycetemcomitans
720,gn:T06678,"alig, 720; Actinobacillus lignieresii NCTC10568",alig,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Actinobacillus;s__Actinobacillus lignieresii
726,gn:T06216,"hhz, 726; Haemophilus haemolyticus NCTC10839",hhz,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus haemolyticus
727,gn:T03485,"hih, 727; Haemophilus influenzae Hi375",hih,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus influenzae
727,gn:T03720,"hiw, 727; Haemophilus influenzae 477",hiw,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus influenzae
727,gn:T03721,"hic, 727; Haemophilus influenzae C486",hic,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus influenzae
727,gn:T03722,"hix, 727; Haemophilus influenzae 723",hix,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus influenzae
728,gn:T05728,"apag, 728; Avibacterium paragallinarum FARPER-174",apag,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Avibacterium;s__Avibacterium paragallinarum
732,gn:T04521,"aaz, 732; Aggregatibacter aphrophilus W10433",aaz,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Aggregatibacter;s__Aggregatibacter aphrophilus
735,gn:T06595,"hpaa, 735; Haemophilus parahaemolyticus NEB129",hpaa,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus parahaemolyticus
738,gn:T03301,"hpas, 738; Glaesserella parasuis SH03",hpas,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Glaesserella;s__Glaesserella parasuis
738,gn:T03312,"hpak, 738; Glaesserella parasuis KL0318",hpak,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Glaesserella;s__Glaesserella parasuis
747,gn:T03322,"pmul, 747; Pasteurella multocida ATCC 43137",pmul,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Pasteurella;s__Pasteurella multocida
749,gn:T05989,"paet, 749; Pasteurella aerogenes NCTC13378",paet,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__;s__[Pasteurella] aerogenes
754,gn:T05467,"pdag, 754; Pasteurella dagmatis NCTC11617",pdag,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Pasteurella;s__Pasteurella dagmatis
758,gn:T05800,"rpne, 758; Rodentibacter pneumotropicus NCTC8284",rpne,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Rodentibacter;s__Rodentibacter pneumotropicus
762,gn:T06626,"avt, 762; Avibacterium volantium NCTC3438",avt,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Avibacterium;s__Avibacterium volantium
807,gn:T06159,"bez, 807; Bartonella elizabethae NCTC12898",bez,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bartonellaceae;g__Bartonella;s__Bartonella elizabethae
817,gn:T03897,"bfb, 817; Bacteroides fragilis BOB25",bfb,d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis
818,gn:T04540,"btho, 818; Bacteroides thetaiotaomicron 7330",btho,d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron
820,gn:T06523,"bun, 820; Bacteroides uniformis NBRC 113350",bun,d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
824,gn:T04020,"cgra, 824; Campylobacter gracilis ATCC 33236",cgra,d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter gracilis
847,gn:T04835,"ofo, 847; Oxalobacter formigenes HC-1",ofo,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Oxalobacter;s__Oxalobacter formigenes
853,gn:T06780,"fpra, 853; Faecalibacterium prausnitzii A2-165",fpra,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii
856,gn:T05280,"fva, 856; Fusobacterium varium Fv113-g1",fva,d__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium varium
860,gn:T06291,"fpei, 860; Fusobacterium periodonticum 2_1_31",fpei,d__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium periodonticum
861,gn:T05433,"ful, 861; Fusobacterium ulcerans ATCC 49185",ful,d__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium ulcerans
882,gn:T00171,"dvu, DESVH, 882; Desulfovibrio vulgaris Hildenborough",dvu,d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio vulgaris
883,gn:T00816,"dvm, DESVM, 883; Desulfovibrio vulgaris Miyazaki F",dvm,d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio vulgaris
897,gn:T04568,"dml, 897; Desulfococcus multivorans DSM 2059",dml,d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfococcus;s__Desulfococcus multivorans
901,gn:T04638,"dpg, 901; Desulfovibrio piger FI11049",dpg,d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio piger
959,gn:T03079,"bbac, 959; Bdellovibrio bacteriovorus 109J",bbac,d__Bacteria;p__Proteobacteria;c__Oligoflexia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Bdellovibrio;s__Bdellovibrio bacteriovorus
960,gn:T05263,"bsto, 960; Bacteriovorax stolpii DSM 12778",bsto,d__Bacteria;p__Proteobacteria;c__Oligoflexia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__Bacteriovorax;s__Bacteriovorax stolpii
964,gn:T04519,"hsz, 964; Herbaspirillum seropedicae Z67",hsz,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Herbaspirillum;s__Herbaspirillum seropedicae
979,gn:T03279,"clh, 979; Cellulophaga lytica HI1",clh,d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga lytica
1010,gn:T05395,"smiz, 1010; Sphingobacterium mizutaii NCTC12149",smiz,d__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__Sphingobacterium mizutaii
1017,gn:T05260,"cgh, 1017; Capnocytophaga gingivalis H1496",cgh,d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__Capnocytophaga gingivalis
1019,gn:T05393,"cspu, 1019; Capnocytophaga sputigena KC1668",cspu,d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__Capnocytophaga sputigena
1052,gn:T06158,"hhk, 1052; Halorhodospira halochloris DSM 1059",hhk,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__Halorhodospira;s__Halorhodospira halochloris
1075,gn:T05669,"rbl, 1075; Rhodobacter blasticus 28/5",rbl,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodobacter;s__Rhodobacter blasticus
1079,gn:T04109,"bvr, 1079; Blastochloris viridis ATCC 19567",bvr,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Blastochloris;s__Blastochloris viridis
1112,gn:T04416,"pns, 1112; Erythrobacter neustonensis DSM 9434 (Porphyrobacter neustonensis DSM 9434)",pns,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Porphyrobacter;s__Porphyrobacter neustonensis
1140,gn:T00300,"syf, SYNE7, 1140; Synechococcus elongatus PCC 7942",syf,d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__Synechococcus elongatus
1147,gn:T03386,"syj, 1147; Synechocystis sp. PCC 6714",syj,d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Merismopediaceae;g__Synechocystis;s__
1148,gn:T00004,"syn, SYNY3, 1148; Synechocystis sp. PCC 6803",syn,d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Merismopediaceae;g__Synechocystis;s__
1148,gn:T02098,"syy, 1148; Synechocystis sp. PCC 6803 GT-S",syy,d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Merismopediaceae;g__Synechocystis;s__
1148,gn:T02468,"syz, 1148; Synechocystis sp. PCC 6803",syz,d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Merismopediaceae;g__Synechocystis;s__
1246,gn:T04460,"llf, 1246; Leuconostoc lactis WiKim40",llf,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc;s__Leuconostoc lactis
1249,gn:T05120,"wpa, 1249; Weissella paramesenteroides FDAARGOS_414",wpa,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella;s__Weissella paramesenteroides
1254,gn:T04512,"paci, 1254; Pediococcus acidilactici ZPA017",paci,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus;s__Pediococcus acidilactici
1272,gn:T06882,"kvr, 1272; Kocuria varians 80",kvr,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Kocuria;s__Kocuria varians
1274,gn:T03223,"dni, 1274; Dermacoccus nishinomiyaensis M25",dni,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Dermacoccaceae;g__Dermacoccus;s__Dermacoccus nishinomiyaensis
1275,gn:T06074,"krs, 1275; Kocuria rosea ATCC 186",krs,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Kocuria;s__Kocuria rosea
1280,gn:T03491,"saud, 1280; Staphylococcus aureus 502A",saud,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus
1280,gn:T03492,"sauf, 1280; Staphylococcus aureus subsp. aureus FDAARGOS_5",sauf,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus
1280,gn:T04800,"sams, 1280; Staphylococcus aureus MS4",sams,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus
1282,gn:T03343,"seps, 1282; Staphylococcus epidermidis SEI",seps,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis
1283,gn:T03837,"shh, 1283; Staphylococcus haemolyticus Sh29/312/L2",shh,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus haemolyticus
1284,gn:T03578,"shu, 1284; Staphylococcus hyicus ATCC 11249",shu,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus hyicus
1286,gn:T04303,"ssif, 1286; Staphylococcus simulans FDAARGOS_124",ssif,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus simulans
1288,gn:T03248,"sxy, 1288; Staphylococcus xylosus HKUOPL8",sxy,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus xylosus
1288,gn:T03311,"sxl, 1288; Staphylococcus xylosus SMQ-121",sxl,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus xylosus
1288,gn:T03742,"sxo, 1288; Staphylococcus xylosus C2a",sxo,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus xylosus
1290,gn:T06045,"shom, 1290; Staphylococcus hominis FDAARGOS_575",shom,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus hominis
1294,gn:T06215,"smus, 1294; Staphylococcus muscae ATCC 49910",smus,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus muscae
1295,gn:T04012,"ssch, 1295; Staphylococcus schleiferi 1360-13",ssch,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus schleiferi
1295,gn:T04520,"sscz, 1295; Staphylococcus schleiferi 2317-03",sscz,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus schleiferi
1296,gn:T05176,"sscu, 1296; Mammaliicoccus sciuri FDAARGOS_285",sscu,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus sciuri
1304,gn:T03511,"strs, 1304; Streptococcus salivarius NCTC 8618",strs,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus salivarius
1304,gn:T04634,"ssah, 1304; Streptococcus salivarius HSISS4",ssah,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus salivarius
1308,gn:T04785,"sths, 1308; Streptococcus thermophilus S9",sths,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus
1310,gn:T05567,"ssob, 1310; Streptococcus sobrinus 10919",ssob,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sobrinus
1311,gn:T02338,"sags, 1311; Streptococcus agalactiae SA20 (Streptococcus agalactiae SA20-06)",sags,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus agalactiae
1311,gn:T03383,"sagc, 1311; Streptococcus agalactiae 138spar",sagc,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus agalactiae
1311,gn:T03516,"sage, 1311; Streptococcus agalactiae NGBS061",sage,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus agalactiae
1311,gn:T03517,"sagg, 1311; Streptococcus agalactiae NGBS572",sagg,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus agalactiae
1328,gn:T03658,"sans, 1328; Streptococcus anginosus SA1",sans,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus anginosus
1329,gn:T07143,"scai, 1329; Streptococcus canis NCTC12191",scai,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus canis
1335,gn:T06203,"seqi, 1335; Streptococcus equinus FDAARGOS_251",seqi,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus equinus
1341,gn:T06620,"srat, 1341; Streptococcus ratti ATCC 31377",srat,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus ratti
1343,gn:T07051,"svb, 1343; Streptococcus vestibularis NCTC12167",svb,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus vestibularis
1345,gn:T07132,"sfer, 1345; Streptococcus ferus NCTC12278",sfer,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus ferus
1346,gn:T03285,"siq, 1346; Streptococcus iniae ISET0901",siq,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus iniae
1346,gn:T03286,"sio, 1346; Streptococcus iniae ISNO",sio,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus iniae
1346,gn:T03674,"siz, 1346; Streptococcus iniae SFST01-82",siz,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus iniae
1351,gn:T02585,"ene, 1351; Enterococcus faecalis 7L76",ene,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis
1353,gn:T04148,"ega, 1353; Enterococcus gallinarum FDAARGOS_163",ega,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus gallinarum
1358,gn:T03480,"llj, 1358; Lactococcus lactis AI06",llj,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis
1366,gn:T05231,"lrn, 1366; Lactococcus raffinolactis WiKim0068",lrn,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus raffinolactis
